Date,Time1,Time2,Time3,Time4
Ημερομηνία,8:45-11:45,12:00-15:00,15:15-18:15,18:30-21:30
Δευτέρα 2/9/2019,Εισαγωγή στον Προγραμματισμό,Υπολογιστική Πολυπλοκότητα,Προγραμματισμός Συστήματος,Ανάπτυξη Υλικού-Λογισμικού για Ενσωματωμένα Συστήματα
Τρίτη 3/9/2019,Σχεδίαση και Χρήση Βάσεων Δεδομένων,Ψηφιακή Επεξεργασία Σήματος,Ειδικά Θέματα Επικοινωνιών και Επεξεργασίας Σήματος - Επεξεργασία και Ανάλυση Εγγράφων,Καινοτομία και Επιχειρηματικότητα
Τετάρτη 4/9/2019,Δίκτυα Επικοινωνιών II,Εργαστήριο Κυκλωμάτων και Συστημάτων,Προηγμένοι Επιστημονικοί Υπολογισμοί,Λογικός Προγραμματισμός
Πέμπτη 5/9/2019,Λογική Σχεδίαση,Σχεδίαση Ψηφιακών Συστημάτων - VHDL,"Ειδικά Θέματα Επικοινωνιών και Επεξεργασίας Σήματος - Κυματοδηγοί, Γραμμές Μεταφοράς και Οπτικές Ίνες",Μικροοικονομική Ανάλυση
Παρασκευή 6/9/2019,Σήματα και Συστήματα,Υλοποίηση Συστημάτων Βάσεων Δεδομένων,Κρυπτογραφία,"Κύματα, Κυματοδηγοί, Κεραίες"
,,,,
Δευτέρα 9/9/2019,Ανάλυση I,Τεχνητή Νοημοσύνη,Επεξεργασία Ομιλίας και Φυσικής Γλώσσας,Εργαστήριο Ηλεκτρονικής
Τρίτη 10/9/2019,Αντικειμενοστραφής Προγραμματισμός,Τηλεπικοινωνιακά Δίκτυα,Επικοινωνία Ανθρώπου Μηχανής,Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών
Τετάρτη 11/9/2019,Λειτουργικά Συστήματα,Υπολογιστική Γεωμετρία,Πληροφορική και Εκπαίδευση,
Πέμπτη 12/9/2019,Γραμμική Άλγεβρα,Θεωρία Πληροφορίας και Κωδίκων,Ανάλυση/Σχεδίαση Συστημάτων Λογισμικού,Ηλεκτρονική Διακυβέρνηση
Παρασκευή 13/9/2019,Πιθανότητες και Στατιστική,Αρχές Γλωσσών Προγραμματισμού,Ασύρματα Δίκτυα Αισθητήρων,Τεχνολογία Λογισμικού
,,,,
Δευτέρα 16/9/2019,Εισαγωγή στην Πληροφορική και στις Τηλεπικοινωνίες,Προηγμένα Θέματα Αλγορίθμων,Θεωρία Υπολογισμού,Διαχείριση Δικτύων
Τρίτη 17/9/2019,Δίκτυα Επικοινωνιών I,Επιστημονικοί Υπολογισμοί,Πληροφοριακά Συστήματα,Αναγνώριση Προτύπων - Μηχανική Μάθηση
Τετάρτη 18/9/2019,Αρχιτεκτονική Υπολογιστών I,Αρχιτεκτονική Υπολογιστών II,Θεωρία Αριθμών,Συστήματα Κινητών και Προσωπικών Επικοινωνιών
Πέμπτη 19/9/2019,Ανάλυση II,Επεξεργασία Στοχαστικών Σημάτων,Τεχνολογίες Εφαρμογών Διαδικτύου,Θεωρία Γραφημάτων
Παρασκευή 20/9/2019,Διακριτά Μαθηματικά,Αριθμητική Ανάλυση,Δομή και Θεσμοί της Ευρωπαϊκής Ένωσης,Ασύρματες Ζεύξεις
,,,,
Δευτέρα 23/9/2019,Δομές Δεδομένων και Τεχνικές Προγραμματισμού,Τεχνικές Εξόρυξης Δεδομένων,Εφαρμοσμένα Μαθηματικά,Προστασία και Ασφάλεια Υπολογιστικών Συστημάτων
Τρίτη 24/9/2019,Αλγόριθμοι και Πολυπλοκότητα,Διδακτική της Πληροφορικής,Ειδικά Θέματα Επικοινωνιών και Επεξεργασίας Σήματος - Αποκεντρωμένα Συστήματα και Αναδρομική Λήψη Αποφάσεων,Μεταγλωττιστές
Τετάρτη 25/9/2019,Ηλεκτρονική,Οπτικές Επικοινωνίες και Οπτικά Δίκτυα,Παράλληλα Συστήματα,Εργαστήριο Δικτύων Επικοινωνιών I
Πέμπτη 26/9/2019,"Ηλεκτρομαγνητισμός, Οπτική, Σύγχρονη Φυσική",Μαθηματικά Πληροφορικής,Παράλληλοι Αλγόριθμοι,Σχεδίαση VLSI Κυκλωμάτων
Παρασκευή 27/9/2019,Συστήματα Επικοινωνιών,Γραφικά I,Ψηφιακές Επικοινωνίες,Διοίκηση Έργων και Τεχνικές Παρουσίασης και Συγγγραφής Επιστημονικών Εκθέσεων
